DATE;CLOSING PRICE;OPEN;DAILY HIGH;DAILY LOW
8/28/2013;65452.40;64523.88;65803.87;63887.70
8/29/2013;66394.41;66027.86;67229.33;66010.24
9/2/2013;68545.38;67446.34;68550.47;67446.34
9/3/2013;66973.08;68828.63;68828.63;66862.06
9/4/2013;66965.84;67375.42;67609.83;66668.39
9/5/2013;66715.06;66933.20;67227.29;66212.70
9/6/2013;67232.42;66768.84;68171.89;66464.25
9/9/2013;69689.21;67958.36;69689.21;67930.46
9/10/2013;71787.99;70369.68;71952.70;70369.27
9/11/2013;71771.60;71552.65;72431.52;71264.40
9/12/2013;72722.34;72057.44;72778.58;71318.87
9/13/2013;71635.02;72114.67;72773.32;71463.63
9/16/2013;74258.55;73031.14;74482.43;73031.14
9/17/2013;74783.39;74102.62;74783.39;73861.28
